area_id,DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
1,1922,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1923,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1924,C,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1925,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1926,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1927,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1928,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1929,C,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1930,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1931,C,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1932,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1933,C,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1934,C,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1935,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1936,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1937,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1938,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1939,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1940,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1941,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1942,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1943,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1944,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1945,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1946,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1947,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1948,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1949,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1950,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1951,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1952,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1953,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1954,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1955,D,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1956,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1957,AN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1958,W,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
1,1959,BN,0.0,127.0,1731.0,32.0,0.0,0.0,0.0,194.0,1055.0,287.0,172.0,66.0,1079.0,0.0,50.0
